nom_pat,prenom_pat,date_naissance,sexe,telephone
Sarr,Awa,1993-07-28,f,777292524
Fall,Ousmane,2001-12-27,m,708577875
Sarr,Aminata,1977-11-29,f,704872124
Ndiaye,Awa,1950-04-02,f,770326551
Sy,Abdoulaye,1980-02-07,m,763806116
Sarr,Ousmane,1988-01-31,m,767672294
Faye,Cheikh,2008-03-17,m,705797226
Fall,Fatou,2023-08-20,f,709354141
Ndiaye,Mamadou,2022-02-25,m,772807652
Gueye,Moussa,2001-07-09,m,768433967
Faye,Moussa,2014-11-28,m,789970277
Sarr,Ibrahima,2006-01-12,m,773300662
Ba,Moussa,1940-03-26,m,789181383
Ba,Khady,1980-10-19,f,775240326
Gueye,Fatou,2022-07-15,f,772698562
Faye,Awa,1988-10-31,f,779031753
Faye,Abdoulaye,1962-05-27,m,704576979
Fall,Moussa,1947-06-02,m,777365768
Ba,Ibrahima,1983-09-15,m,708975072
Sarr,Fatou,2017-03-25,f,767752111
Sarr,Moussa,1976-09-06,m,779371549
Kane,Moussa,1963-09-06,m,766485970
Fall,Ousmane,2015-08-14,m,776422133
Kane,Oumar,1995-07-13,m,771187792
Gueye,Khady,1968-03-26,f,764368769
Sarr,Mariama,1997-07-31,f,703605845
Sarr,Cheikh,1978-04-25,m,789771768
Faye,Oumar,1963-08-13,m,701032901
Diop,Ibrahima,1953-02-04,m,768942353
Ndiaye,Awa,1985-05-15,f,769110557
Ndiaye,Cheikh,1957-12-01,m,708377505
Sarr,Fatou,2007-04-30,f,765359940
Sow,Fatou,1965-02-14,f,781667259
Fall,Awa,1950-10-24,f,766945999
Sow,Ousmane,1969-05-06,m,774102397
Diop,Abdoulaye,2023-03-30,m,770237579
Sy,Awa,1979-09-29,f,702207898
Ba,Ousmane,1950-11-27,m,765357446
Faye,Oumar,1969-01-20,m,784944945
Faye,Abdoulaye,2003-04-12,m,778475270
Gueye,Mamadou,2001-01-22,m,783953118
Sy,Fatou,1963-05-01,f,770409687
Ba,Ibrahima,1940-04-06,m,772679882
Diop,Aminata,1996-11-28,f,705099291
Faye,Fatou,1978-10-22,f,789535226
Sy,Abdoulaye,2021-08-05,m,771535669
Diop,Awa,1968-05-06,f,702181415
Gueye,Oumar,1949-04-21,m,769436896
Sow,Awa,2012-03-06,f,783865274
Gueye,Aminata,1974-11-25,f,782975482
Sow,Mariama,2015-08-12,f,706495494
Gueye,Abdoulaye,1941-05-04,m,769656360
Faye,Khady,1951-12-08,f,704821111
Sarr,Fatou,2012-10-08,f,776070492
Ba,Khady,1992-12-14,f,774068005
Gueye,Khady,1960-04-08,f,779868076
Fall,Fatou,2004-05-07,f,788860238
Faye,Mariama,1998-01-28,f,789962426
Gueye,Abdoulaye,1999-02-05,m,767191219
Sow,Mariama,1964-02-17,f,767891786
Gueye,Fatou,1994-08-01,f,765442770
Kane,Khady,1970-03-27,f,779828441
Faye,Fatou,2002-10-05,f,700871817
Kane,Ousmane,1998-07-18,m,703840355
Sarr,Abdoulaye,1988-12-01,m,703609586
Ndiaye,Awa,1982-03-25,f,707775007
Gueye,Ousmane,1999-08-26,m,776415290
Ndiaye,Aminata,1961-03-26,f,765235759
Gueye,Cheikh,1949-02-16,m,706021008
Ba,Mariama,1955-04-04,f,765527465
Sy,Oumar,2013-08-15,m,786202268
Kane,Moussa,1982-10-03,m,760010282
Fall,Fatou,1977-12-16,f,786554307
Fall,Moussa,1980-03-09,m,763932410
Faye,Mariama,2001-10-16,f,703624180
Diop,Mariama,1958-07-07,f,788643882
Sarr,Moussa,1980-12-03,m,778815408
Faye,Abdoulaye,1971-11-14,m,766353421
Fall,Khady,1973-03-12,f,765733404
Fall,Ibrahima,1964-01-30,m,769865437
Sarr,Ousmane,1953-08-12,m,774756260
Sarr,Mariama,1951-09-27,f,768996998
Ba,Aminata,2016-03-31,f,703715639
Diop,Fatou,1984-04-09,f,774161121
Diop,Aminata,1941-03-31,f,781485819
Sy,Awa,1988-12-27,f,764377111
Sow,Fatou,1965-06-17,f,778271848
Sow,Khady,1972-01-10,f,703238915
Faye,Khady,2009-06-01,f,709933365
Fall,Khady,1969-12-06,f,765651528
Sow,Fatou,1950-05-31,f,769993000
Faye,Mariama,2009-02-17,f,701338315
Kane,Moussa,1949-07-25,m,776032132
Diallo,Khady,1991-04-21,f,787096892
Sarr,Moussa,1963-03-17,m,784431218
Kane,Aminata,1946-12-05,f,760175569
Kane,Ousmane,1991-03-02,m,769699954
Diallo,Ibrahima,1940-05-16,m,705932286
Gueye,Oumar,1954-01-22,m,783574009
Sy,Mamadou,1945-11-22,m,783137930
Diallo,Mamadou,1950-05-20,m,706869904
Sow,Khady,1948-04-17,f,779519060
Sarr,Moussa,2021-08-12,m,706804362
Ndiaye,Fatou,1979-03-22,f,705373255
Ndiaye,Aminata,1995-12-21,f,766810462
Diallo,Aminata,2019-11-27,f,779372622
Fall,Aminata,1996-08-02,f,777153737
Fall,Ousmane,1971-06-12,m,709025503
Sarr,Abdoulaye,1964-05-12,m,762180718
Diallo,Fatou,1953-07-15,f,703533239
Gueye,Mariama,1980-02-02,f,769136423
Diallo,Oumar,1976-02-08,m,766959267
Sow,Aminata,2009-02-14,f,769939626
Fall,Ousmane,1977-08-25,m,703367446
Fall,Abdoulaye,1953-10-24,m,762015646
Sy,Moussa,1969-07-18,m,768059002
Diop,Mamadou,1973-10-19,m,768658468
Gueye,Khady,2011-02-16,f,786689426
Ba,Ibrahima,1989-01-15,m,707824859
Sy,Mariama,2013-09-21,f,775060856
Sow,Moussa,1988-01-12,m,787617010
Sy,Aminata,2009-08-31,f,766952128
Fall,Aminata,2015-09-21,f,703668408
Faye,Cheikh,1988-04-09,m,770606707
Sy,Aminata,1985-03-18,f,705959115
Sy,Aminata,1983-09-06,f,783721191
Sy,Mamadou,2006-04-15,m,763651562
Sy,Mariama,1961-06-20,f,783121297
Faye,Oumar,1999-01-09,m,767137606
Gueye,Cheikh,1940-03-06,m,706628690
Kane,Oumar,1998-10-30,m,777928280
Fall,Aminata,1966-11-30,f,763698129
Faye,Awa,1971-11-10,f,765102382
Sy,Awa,2012-09-14,f,788290408
Diallo,Awa,1973-07-23,f,704890229
Gueye,Mariama,1955-12-06,f,774424208
Kane,Khady,1972-09-14,f,780608480
Fall,Khady,1982-03-07,f,768851199
Diallo,Awa,1961-06-14,f,788912737
Fall,Oumar,1942-04-29,m,770746887
Ba,Abdoulaye,2010-08-08,m,700995504
Diop,Awa,2020-03-14,f,779244455
Sarr,Abdoulaye,2022-06-19,m,708443725
Sarr,Abdoulaye,1946-12-09,m,784900972
Ndiaye,Mariama,2019-09-27,f,779234492
Sow,Mariama,1985-04-24,f,782127622
Gueye,Mamadou,2022-10-08,m,760272497
Kane,Mariama,2015-12-31,f,765684153
Gueye,Khady,2021-01-23,f,705949569
Ba,Aminata,1987-10-14,f,787213567
Fall,Ousmane,1985-09-12,m,788448588
Gueye,Mamadou,1946-03-13,m,785494060
Kane,Awa,1947-09-13,f,782997155
Sarr,Khady,1948-11-27,f,773892312
Ba,Oumar,1976-01-07,m,766698109
Diallo,Ousmane,1978-08-10,m,701583174
Faye,Cheikh,1993-01-25,m,765068960
Ndiaye,Abdoulaye,2015-03-31,m,700679978
Diallo,Ibrahima,1945-11-22,m,762752129
Ba,Oumar,1949-11-22,m,773831727
Gueye,Ousmane,1992-12-17,m,784759050
Faye,Moussa,2015-12-20,m,783039501
Faye,Aminata,1995-09-23,f,701469617
Sarr,Abdoulaye,1971-05-10,m,704203576
Diallo,Awa,1993-10-23,f,706552687
Diop,Ibrahima,2020-03-06,m,764084418
Faye,Aminata,1991-10-27,f,777873518
Ba,Ousmane,2003-07-06,m,784618245
Kane,Ousmane,1962-10-17,m,705326064
Sarr,Ibrahima,1953-06-26,m,775214801
Sy,Abdoulaye,1974-11-06,m,789655898
Diop,Ousmane,2005-10-12,m,789864724
Ba,Fatou,1975-07-11,f,764424611
Ndiaye,Moussa,2004-06-07,m,703885434
Faye,Fatou,1952-06-10,f,766188677
Ba,Mamadou,1996-08-18,m,763624573
Faye,Aminata,1996-01-02,f,778629291
Fall,Fatou,2013-01-10,f,705950459
Diallo,Moussa,2013-11-05,m,767893798
Sow,Abdoulaye,2013-02-17,m,781212250
Sarr,Fatou,2023-06-29,f,703152916
Diallo,Fatou,1947-02-09,f,700852672
Fall,Cheikh,1992-06-20,m,701031941
Fall,Fatou,1996-10-27,f,783517504
Sarr,Ibrahima,2002-04-20,m,765670181
Diallo,Oumar,1983-01-04,m,761198945
Ndiaye,Khady,1942-07-09,f,768749599
Diallo,Aminata,1960-12-01,f,707409509
Sow,Moussa,1993-11-13,m,768206134
Faye,Fatou,1952-05-22,f,761815981
Diop,Khady,1958-10-26,f,777873077
Sarr,Ousmane,2011-10-12,m,768919418
Kane,Ousmane,2016-01-31,m,709693277
Gueye,Khady,2005-01-17,f,776673447
Gueye,Oumar,1994-06-04,m,779753123
Kane,Awa,1991-06-07,f,703764540
Sy,Oumar,1986-04-21,m,771950138
Diallo,Mariama,1983-05-11,f,706971858
Diop,Mamadou,2001-02-13,m,763126149
Diallo,Fatou,2000-07-23,f,770378654
Diallo,Abdoulaye,2022-04-12,m,701462809
Sow,Oumar,2011-09-05,m,772694768
Sarr,Cheikh,1963-03-01,m,766115607
Sarr,Cheikh,1942-08-23,m,776082840
Sow,Aminata,1988-09-21,f,706348107
Gueye,Khady,1944-07-13,f,786696328
Ba,Ousmane,2004-12-25,m,769135530
Ndiaye,Ousmane,1965-11-19,m,787381237
Ndiaye,Fatou,2010-04-21,f,771610426
Diallo,Oumar,2001-08-18,m,764493301
Diop,Aminata,1973-05-02,f,700365795
Sy,Khady,1954-09-23,f,782698704
Faye,Oumar,1980-05-16,m,708896393
Diop,Moussa,2007-06-13,m,766491946
Diallo,Awa,1995-11-26,f,762048878
Diop,Awa,2023-05-21,f,789160823
Diop,Mariama,2006-06-09,f,772547496
Sy,Mamadou,1964-04-01,m,701138447
Sarr,Khady,1983-12-26,f,770421757
Sarr,Ousmane,1940-08-19,m,700318288
Faye,Ousmane,1951-06-02,m,787919984
Kane,Mariama,1973-12-20,f,760594107
Sarr,Fatou,1964-09-14,f,779472098
Faye,Oumar,2011-10-11,m,762456877
Diop,Awa,1940-08-04,f,782158894
Ndiaye,Awa,1975-07-16,f,780553008
Ba,Cheikh,2022-03-14,m,785771503
Ndiaye,Khady,2010-08-08,f,709005072
Gueye,Aminata,2017-05-25,f,701464583
Ba,Khady,1965-08-13,f,789268518
Kane,Awa,1944-05-20,f,785753008
Sarr,Aminata,2005-09-16,f,708214067
Ndiaye,Ibrahima,2000-06-16,m,775178084
Ndiaye,Khady,2006-07-23,f,769922214
Gueye,Awa,2001-04-18,f,788640933
Sow,Cheikh,1997-04-19,m,768985302
Diop,Moussa,1948-10-29,m,703385024
Sy,Cheikh,1961-08-07,m,785141829
Sarr,Khady,1957-09-28,f,771617201
Sow,Moussa,2005-10-28,m,785352953
Ba,Khady,2011-04-20,f,770722822
Sarr,Aminata,2007-04-16,f,771998223
Ndiaye,Cheikh,2012-12-16,m,781712257
Sow,Abdoulaye,2008-04-27,m,701124171
Ba,Mariama,1976-08-28,f,771966616
Ndiaye,Ibrahima,2000-03-01,m,786192925
Fall,Moussa,1960-07-03,m,779143390
Faye,Khady,1977-07-06,f,701037838
Fall,Moussa,2014-09-09,m,762482376
Fall,Awa,1974-08-15,f,760713843
Fall,Moussa,1992-10-20,m,765288031
Sy,Abdoulaye,2002-01-20,m,787197318
Sarr,Aminata,2008-01-17,f,774605083
Sarr,Fatou,1979-12-05,f,762323622
Diop,Fatou,2011-02-16,f,771589297
Diallo,Oumar,2000-10-30,m,779261378
Diallo,Khady,2011-02-08,f,705001118
Faye,Abdoulaye,1962-03-26,m,763483109
Ndiaye,Oumar,2012-12-14,m,701944560
Sow,Cheikh,1973-02-15,m,766038672
Sarr,Cheikh,2005-11-04,m,772493598
Sarr,Fatou,1955-06-22,f,781157778
Sy,Mariama,2014-11-09,f,708508387
Fall,Moussa,1985-07-17,m,766655361
Diop,Abdoulaye,1988-01-24,m,771213067
Fall,Oumar,1943-08-01,m,788742632
Fall,Khady,2012-10-06,f,782087293
Sy,Mariama,1952-12-21,f,779154429
Fall,Ousmane,1994-09-10,m,707857235
Gueye,Ousmane,2017-02-13,m,762368030
Sow,Awa,1983-02-16,f,769988693
Diallo,Ousmane,2013-03-15,m,709166097
Diallo,Khady,1981-06-29,f,779197537
Ba,Mamadou,1982-09-08,m,770614727
Faye,Cheikh,1940-06-22,m,780295332
Fall,Moussa,1959-07-22,m,773426902
Faye,Khady,1975-03-17,f,764100852
Gueye,Abdoulaye,2015-10-29,m,766830189
Sarr,Awa,1983-04-21,f,783100320
Fall,Khady,2016-07-08,f,708599469
Kane,Ousmane,1957-06-26,m,771042622
Fall,Oumar,1982-07-23,m,708696656
Diop,Mariama,1988-09-27,f,766221577
Diallo,Aminata,1954-05-31,f,767979510
Kane,Fatou,1980-06-27,f,704286634
Diop,Awa,1968-06-30,f,778273369
Kane,Cheikh,1988-09-23,m,770212855
Sarr,Aminata,1947-05-06,f,762000738
Diop,Fatou,1951-02-24,f,706443664
Sow,Abdoulaye,1972-12-16,m,776063619
Faye,Ousmane,1974-05-05,m,783240082
Ndiaye,Oumar,2003-01-11,m,773003186
Sarr,Aminata,1964-10-19,f,778770578
Sy,Khady,1976-10-29,f,787376307
Kane,Mamadou,2005-03-09,m,782460151
Kane,Oumar,2020-03-24,m,704819379
Diop,Aminata,2020-04-02,f,703627653
Sow,Mamadou,1942-10-15,m,764427120
Sow,Ibrahima,2016-01-11,m,782699064
Ndiaye,Oumar,1948-04-15,m,782322524
Kane,Khady,2010-06-23,f,788998924
Ba,Cheikh,1990-08-03,m,704368863
Sarr,Awa,2003-06-03,f,775190702
Ba,Oumar,2002-04-22,m,774076016
Sy,Abdoulaye,2004-09-11,m,781700401
Sy,Ousmane,1978-02-15,m,779139900
Sy,Cheikh,2022-04-30,m,782352728
Sarr,Awa,1962-06-06,f,773679848
Kane,Mariama,1970-09-06,f,772256983
Fall,Mariama,1948-12-25,f,702119894
Fall,Khady,1954-05-22,f,784785252
Sy,Awa,1965-10-24,f,708826623
Ndiaye,Khady,1986-08-14,f,782714528
Sy,Aminata,2004-03-16,f,775124024
Diop,Ibrahima,1958-07-16,m,780803832
Gueye,Moussa,1986-04-11,m,775947462
Ndiaye,Aminata,2016-09-04,f,786315321
Ba,Aminata,2001-09-04,f,770720690
Kane,Awa,1961-12-31,f,707417481
Faye,Ousmane,1987-11-18,m,781016885
Sarr,Moussa,1948-01-24,m,766309066
Diallo,Mariama,1954-06-21,f,765774152
Ba,Fatou,2011-07-31,f,766855099
Diop,Mamadou,1988-10-09,m,766590097
Diallo,Ibrahima,1982-11-05,m,784485948
Faye,Mamadou,2023-04-02,m,779002449
Sy,Mamadou,1981-03-25,m,763478986
Faye,Moussa,1987-01-16,m,771037610
Kane,Cheikh,1982-03-29,m,779750915
Sarr,Khady,2009-08-29,f,781839117
Sarr,Mamadou,1991-11-07,m,706445934
Ba,Ibrahima,1988-08-29,m,779910045
Sarr,Oumar,1997-03-08,m,779950843
Sy,Mamadou,2000-07-28,m,764118202
Faye,Ibrahima,2021-06-12,m,700048515
Diop,Aminata,1978-04-21,f,703878374
Ndiaye,Awa,1951-10-05,f,763032182
Fall,Abdoulaye,1992-05-14,m,761401998
Ndiaye,Abdoulaye,1963-02-24,m,769548988
Faye,Mamadou,1941-12-07,m,788680024
Faye,Mamadou,2020-08-16,m,774782480
Sy,Aminata,1978-12-15,f,773704338
Ndiaye,Abdoulaye,1948-06-03,m,786154276
Kane,Awa,1964-08-23,f,701043186
Sow,Mariama,1988-01-23,f,760943067
Ndiaye,Moussa,1966-08-08,m,772280300
Ba,Oumar,1946-12-27,m,761848718
Sow,Fatou,2015-06-27,f,768055610
Sy,Aminata,1980-09-07,f,704686256
Sy,Mariama,1967-09-20,f,773770250
Fall,Cheikh,1977-07-18,m,780033381
Kane,Ibrahima,2000-02-11,m,772190539
Kane,Mariama,1984-06-13,f,706463725
Diallo,Abdoulaye,1945-02-04,m,768827163
Ba,Khady,1974-03-16,f,764643179
Sy,Fatou,1963-07-24,f,779735050
Kane,Awa,1951-10-09,f,773647600
Sarr,Oumar,1960-02-27,m,775049160
Sarr,Ousmane,1992-04-21,m,700584177
Kane,Fatou,1963-05-30,f,780249082
Sow,Oumar,2009-11-17,m,773360016
Fall,Oumar,1959-09-16,m,776111873
Sy,Khady,2012-10-12,f,704215508
Diop,Ibrahima,1967-05-29,m,771027102
Diop,Fatou,1981-06-24,f,779637487
Kane,Khady,2004-02-14,f,764070310
Sy,Mamadou,1970-07-14,m,771193436
Ndiaye,Fatou,1954-10-07,f,762752676
Sarr,Mamadou,2000-07-16,m,774721424
Diallo,Mariama,2018-02-04,f,762541203
Ba,Moussa,1985-03-05,m,779020726
Sow,Fatou,1976-07-11,f,762941576
Faye,Mariama,1986-06-16,f,708401765
Kane,Awa,1995-09-27,f,766356358
Faye,Abdoulaye,1998-04-26,m,787943521
Faye,Fatou,2019-06-30,f,768336381
Faye,Mamadou,1982-12-17,m,703050648
Ndiaye,Abdoulaye,1985-12-26,m,762936335
Ndiaye,Abdoulaye,1978-12-08,m,709510348
Diop,Awa,1974-08-10,f,771612637
Fall,Aminata,2008-03-05,f,773469769
Diop,Aminata,2015-04-30,f,768119052
Kane,Cheikh,2005-01-07,m,766061291
Fall,Khady,1972-01-07,f,772155705
Ndiaye,Fatou,2013-12-06,f,788126796
Sow,Awa,1972-02-21,f,781600146
Ba,Awa,1994-01-19,f,763294288
Fall,Khady,1968-08-13,f,764335527
Diop,Aminata,2003-04-18,f,707019446
Ba,Khady,1986-04-26,f,773069409
Ba,Khady,2021-11-15,f,704039259
Diallo,Khady,1955-06-18,f,775390566
Gueye,Fatou,1958-10-21,f,775759408
Sarr,Ousmane,2013-04-01,m,771287568
Ndiaye,Abdoulaye,1944-06-27,m,781592965
Fall,Awa,1959-01-22,f,766492141
Faye,Khady,1980-04-14,f,700157347
Ba,Mariama,1947-08-24,f,708185509
Ndiaye,Mamadou,1940-07-10,m,785804982
Ndiaye,Aminata,1977-03-15,f,763858731
Faye,Mariama,1977-03-07,f,763257833
Sy,Fatou,2010-08-09,f,767294793
Diop,Abdoulaye,1975-07-30,m,763887597
Diallo,Mamadou,1959-02-18,m,768985253
Sarr,Fatou,2015-05-27,f,761681923
Ba,Ousmane,1943-12-09,m,786639634
Diop,Ousmane,2012-01-24,m,765357866
Ba,Moussa,1949-04-18,m,784638650
Sy,Ousmane,1963-12-08,m,700133127
Fall,Fatou,1981-01-19,f,774823806
Ndiaye,Mamadou,1953-05-27,m,763739099
Faye,Awa,1999-03-13,f,789050353
Gueye,Moussa,2017-03-03,m,769013892
Sow,Mamadou,1986-08-03,m,703874355
Sow,Khady,1969-10-29,f,768679358
Ba,Moussa,1982-09-10,m,761167051
Diop,Oumar,2009-09-07,m,776407966
Ba,Abdoulaye,1942-12-27,m,780735679
Gueye,Khady,2000-02-04,f,706115845
Diop,Fatou,1989-12-21,f,787330745
Diallo,Mariama,1942-07-12,f,762092510
Diallo,Fatou,1952-08-13,f,787557442
Ba,Mamadou,1961-07-05,m,706514565
Sy,Khady,1972-07-03,f,704428976
Kane,Fatou,2007-10-11,f,707601561
Kane,Moussa,1948-03-04,m,780494545
Sarr,Ousmane,1946-07-03,m,772939196
Gueye,Moussa,1952-01-23,m,765172334
Diop,Aminata,1983-06-01,f,769379275
Sow,Ibrahima,2011-08-07,m,701977524
Sy,Ousmane,1965-07-05,m,765427619
Fall,Cheikh,1990-10-13,m,700640365
Sarr,Aminata,1963-02-12,f,789325366
Sy,Oumar,2001-11-26,m,704333518
Gueye,Khady,1958-05-24,f,771481249
Gueye,Khady,2014-10-10,f,777270677
Diop,Awa,2021-04-10,f,775888154
Diop,Awa,1981-10-22,f,789241503
Ndiaye,Mamadou,2007-11-18,m,772985200
Sow,Mariama,2018-06-13,f,788548717
Diop,Mariama,2003-06-05,f,702756522
Sow,Moussa,1990-08-04,m,709491102
Ndiaye,Cheikh,1970-09-12,m,775686965
Sy,Moussa,2015-05-19,m,704460620
Ba,Khady,1943-09-02,f,709596010
Ba,Oumar,2010-09-11,m,765728757
Sy,Aminata,1952-06-07,f,709514803
Sarr,Khady,1952-08-25,f,761849261
Gueye,Mariama,1992-10-30,f,760581089
Sow,Oumar,1950-09-21,m,768471273
Fall,Abdoulaye,2012-11-17,m,702215817
Sow,Aminata,1986-08-25,f,701309855
Gueye,Awa,2022-10-26,f,709170882
Diallo,Aminata,1958-09-29,f,764241993
Kane,Moussa,1953-01-09,m,705262962
Sow,Mariama,1957-11-12,f,784509211
Diop,Oumar,2009-04-12,m,773296854
Fall,Abdoulaye,1982-11-26,m,701135158
Sarr,Khady,1998-07-24,f,761124052
Diallo,Oumar,1993-03-14,m,702829270
Ndiaye,Cheikh,1952-09-10,m,779459196
Sy,Ibrahima,1951-10-13,m,766282268
Fall,Awa,1942-11-29,f,768275967
Sow,Ibrahima,2014-06-28,m,789910930
Sow,Fatou,1984-04-10,f,702922306
Diallo,Aminata,1966-10-11,f,763996639
Ndiaye,Ibrahima,1973-12-08,m,789928539
Gueye,Fatou,1987-06-07,f,770021265
Sarr,Khady,2021-03-03,f,705297113
Sow,Ibrahima,2017-11-10,m,771454016
Ndiaye,Fatou,1941-02-07,f,785960428
Sow,Mariama,2015-06-03,f,778227061
Sy,Oumar,2014-04-12,m,760039216
Kane,Fatou,1983-12-02,f,779762511
Sy,Mamadou,1954-10-20,m,702366411
Sarr,Abdoulaye,2009-03-09,m,705085329
Sarr,Abdoulaye,1989-02-05,m,774052714
Diallo,Mamadou,1976-03-11,m,788012407
Sarr,Ibrahima,1995-08-29,m,705839310
Sarr,Awa,1998-06-28,f,765656433
Sy,Oumar,1971-03-06,m,760850305
Diop,Mamadou,1947-09-24,m,788700586
Sy,Moussa,1967-12-19,m,701003917
Gueye,Mariama,2013-06-05,f,765099810
Faye,Khady,2010-10-14,f,764239817
Fall,Cheikh,1960-06-07,m,774550499
Ndiaye,Fatou,1967-02-01,f,701210471
Sow,Ibrahima,2001-08-14,m,762819264
Diop,Abdoulaye,1989-09-30,m,768049013
Gueye,Abdoulaye,1950-08-28,m,771843121
Sy,Khady,1957-09-10,f,773720088
Diallo,Aminata,1999-03-08,f,787498059
Diop,Fatou,1961-04-05,f,781580310
Sarr,Moussa,1991-07-30,m,777049404
Sy,Ousmane,1963-06-01,m,703602534
Sarr,Ousmane,2019-02-02,m,707067486
Diop,Fatou,2006-04-16,f,709923772
Kane,Abdoulaye,1990-01-22,m,760536301
Faye,Awa,1999-11-28,f,781685017
Diop,Fatou,1976-03-05,f,765317523
Diallo,Mamadou,1974-11-17,m,704635705
Fall,Fatou,1976-06-24,f,764417044
Sarr,Oumar,2008-12-24,m,780125954
Faye,Moussa,1949-05-07,m,784826613
Fall,Awa,1994-08-10,f,761476416
Ba,Fatou,1999-05-08,f,789341872
Sarr,Cheikh,1986-11-18,m,775868639
Gueye,Awa,2012-07-27,f,763853268
Diallo,Ibrahima,1954-02-18,m,785480251
Sarr,Awa,1950-07-13,f,781985894
Sow,Cheikh,1943-11-14,m,775860495
Ndiaye,Awa,2018-09-22,f,783892838
Gueye,Ibrahima,1999-07-28,m,774528428
Kane,Ousmane,1948-12-25,m,769801752
Gueye,Moussa,1994-11-22,m,768408054
Diallo,Fatou,1970-09-21,f,784164293
Fall,Fatou,1953-09-14,f,781789671
Sarr,Mamadou,1966-12-09,m,701837242
Diop,Fatou,2022-07-24,f,770181412
Ba,Ibrahima,1958-09-17,m,706814365
Sow,Awa,1952-01-09,f,709823336
Sarr,Fatou,2019-05-27,f,707125581
Sow,Moussa,1953-02-24,m,701634137
Sarr,Mamadou,1961-12-18,m,771072165
Sy,Aminata,2005-10-16,f,766898987
Sy,Aminata,1949-02-16,f,783003993
Sy,Awa,1989-10-04,f,780662867
Ndiaye,Oumar,1952-02-26,m,778654558
Gueye,Abdoulaye,1966-09-27,m,781879141
Sow,Cheikh,1986-01-23,m,788595512
Kane,Moussa,1982-01-02,m,787330593
Faye,Fatou,1992-05-10,f,782742966
Faye,Aminata,1963-11-21,f,704127933
Ndiaye,Cheikh,1982-11-27,m,769963437
Sy,Aminata,2004-08-11,f,778854036
Sow,Khady,2003-04-03,f,708471703
Fall,Aminata,1960-05-22,f,782828302
Fall,Oumar,1971-04-20,m,768586402
