nom_med,prenom_med,specialite,id_user
Ndiaye,Awa,Cardiologie,4902
Sarr,Awa,Chirurgie,8600
Sow,Moussa,Cardiologie,2034
Gueye,Khady,Medecine generale,6069
Faye,Awa,Chirurgie,5879
Ba,Khady,Chirurgie,4293
Diallo,Mariama,Pediatrie,5511
Sow,Oumar,Pediatrie,7329
Diop,Moussa,Pediatrie,6533
Faye,Fatou,Gynecologie,126
Kane,Cheikh,Dermatologie,629
Diop,Cheikh,Dermatologie,9577
Ba,Oumar,Cardiologie,6450
Ba,Mamadou,Pediatrie,8773
Diop,Ousmane,Chirurgie,7177
Sow,Oumar,Chirurgie,2970
Sow,Abdoulaye,Medecine generale,4084
Sy,Ousmane,Gynecologie,6331
Diallo,Aminata,Dermatologie,2818
Ndiaye,Abdoulaye,Dermatologie,2350
Kane,Ibrahima,Pediatrie,7812
Gueye,Fatou,Medecine generale,9250
Fall,Abdoulaye,Gynecologie,7370
Sy,Cheikh,Chirurgie,449
Gueye,Khady,Gynecologie,9084
Fall,Cheikh,Gynecologie,3304
Ndiaye,Khady,Medecine generale,5191
Ndiaye,Fatou,Gynecologie,1261
Kane,Aminata,Dermatologie,7425
Ndiaye,Ibrahima,Chirurgie,2131
Faye,Ousmane,Medecine generale,4879
Ba,Awa,Chirurgie,2180
Sow,Abdoulaye,Cardiologie,7646
Diop,Mamadou,Gynecologie,7652
Fall,Oumar,Chirurgie,8735
Gueye,Ibrahima,Medecine generale,704
Sow,Khady,Gynecologie,682
Diallo,Mamadou,Pediatrie,4625
Ba,Abdoulaye,Gynecologie,2863
Ndiaye,Mariama,Gynecologie,8436
Fall,Ibrahima,Chirurgie,3568
Ndiaye,Fatou,Medecine generale,6726
Faye,Oumar,Gynecologie,5541
Sy,Cheikh,Dermatologie,1736
Kane,Khady,Gynecologie,7962
Faye,Fatou,Pediatrie,6830
Faye,Oumar,Chirurgie,314
Sarr,Oumar,Dermatologie,736
Diop,Awa,Dermatologie,3461
Ba,Ibrahima,Gynecologie,8988
Faye,Khady,Pediatrie,5135
Ba,Ousmane,Medecine generale,6173
Diallo,Fatou,Cardiologie,8696
Sy,Moussa,Chirurgie,4163
Sy,Moussa,Medecine generale,9259
Faye,Moussa,Cardiologie,6099
Sy,Awa,Cardiologie,897
Gueye,Cheikh,Dermatologie,1557
Ndiaye,Ousmane,Dermatologie,5979
Diallo,Aminata,Cardiologie,9869
Ba,Moussa,Dermatologie,7569
Diop,Oumar,Dermatologie,1409
Gueye,Awa,Pediatrie,5138
Diallo,Awa,Chirurgie,3212
Ba,Moussa,Dermatologie,3981
Ndiaye,Fatou,Chirurgie,2749
Ba,Awa,Dermatologie,2567
Sow,Mariama,Cardiologie,3669
Gueye,Moussa,Dermatologie,2801
Kane,Moussa,Cardiologie,2685
Sow,Awa,Gynecologie,1320
Ba,Ousmane,Pediatrie,3508
Ba,Khady,Medecine generale,9829
Fall,Ousmane,Medecine generale,3110
Sarr,Aminata,Gynecologie,744
Sarr,Oumar,Dermatologie,5159
Gueye,Aminata,Dermatologie,3013
Sy,Awa,Pediatrie,3593
Diallo,Oumar,Gynecologie,6571
Diop,Ousmane,Dermatologie,3822
Gueye,Ibrahima,Dermatologie,1361
Fall,Ousmane,Pediatrie,3752
Fall,Cheikh,Chirurgie,6454
Ba,Aminata,Pediatrie,5546
Kane,Oumar,Cardiologie,4423
Sy,Moussa,Medecine generale,9309
Kane,Ousmane,Pediatrie,5774
Sarr,Fatou,Pediatrie,4127
Ndiaye,Fatou,Medecine generale,1644
Sarr,Fatou,Gynecologie,1386
Diallo,Moussa,Dermatologie,3375
Sy,Oumar,Cardiologie,8006
Diallo,Mariama,Medecine generale,228
Diallo,Oumar,Pediatrie,1159
Diallo,Mamadou,Cardiologie,6107
Ndiaye,Mamadou,Chirurgie,2924
Diop,Mariama,Gynecologie,6760
Fall,Awa,Cardiologie,3000
Sy,Cheikh,Medecine generale,1769
Gueye,Mariama,Gynecologie,653
Kane,Ibrahima,Medecine generale,9048
Diop,Mariama,Dermatologie,3128
Gueye,Fatou,Gynecologie,3834
Fall,Ibrahima,Chirurgie,6116
Diop,Cheikh,Gynecologie,7161
Sy,Ibrahima,Chirurgie,7010
Sarr,Awa,Chirurgie,6992
Diallo,Ousmane,Pediatrie,4744
Ndiaye,Ibrahima,Chirurgie,2083
Ba,Oumar,Pediatrie,6324
Diallo,Khady,Dermatologie,6627
Sarr,Oumar,Dermatologie,3328
Gueye,Mamadou,Chirurgie,5687
Kane,Mamadou,Medecine generale,7031
Diallo,Ousmane,Chirurgie,7884
Ndiaye,Oumar,Chirurgie,2731
Gueye,Oumar,Cardiologie,9024
Sow,Moussa,Medecine generale,9220
Faye,Fatou,Pediatrie,2275
Diop,Ousmane,Medecine generale,4584
Faye,Awa,Medecine generale,4655
Faye,Mamadou,Pediatrie,9391
Ba,Ousmane,Pediatrie,5626
Diop,Moussa,Gynecologie,4223
Sow,Aminata,Dermatologie,7771
Fall,Fatou,Pediatrie,8057
Faye,Fatou,Cardiologie,4609
Gueye,Aminata,Cardiologie,1967
Ndiaye,Cheikh,Pediatrie,3979
Kane,Fatou,Pediatrie,7428
Fall,Khady,Dermatologie,437
Fall,Mamadou,Pediatrie,6480
Fall,Moussa,Gynecologie,4656
Sy,Aminata,Medecine generale,2850
Sarr,Mariama,Medecine generale,8378
Kane,Ibrahima,Gynecologie,2728
Gueye,Oumar,Chirurgie,1360
Gueye,Mariama,Medecine generale,1201
Kane,Ousmane,Pediatrie,5997
Sarr,Ousmane,Cardiologie,490
Ba,Mamadou,Pediatrie,5266
Gueye,Ibrahima,Gynecologie,2502
Diallo,Mamadou,Dermatologie,6948
Diop,Khady,Chirurgie,5728
Sy,Ibrahima,Chirurgie,4106
Sy,Abdoulaye,Cardiologie,4028
Diallo,Cheikh,Chirurgie,3572
Diop,Abdoulaye,Gynecologie,1429
Sow,Awa,Gynecologie,8985
Ba,Aminata,Gynecologie,7290
Sy,Abdoulaye,Cardiologie,7035
Kane,Ousmane,Medecine generale,4653
Ndiaye,Aminata,Medecine generale,7519
Ba,Khady,Chirurgie,686
Sow,Ousmane,Pediatrie,4256
Diop,Khady,Medecine generale,5056
Gueye,Cheikh,Medecine generale,1608
Ba,Ousmane,Dermatologie,5527
Kane,Ousmane,Chirurgie,4349
Fall,Fatou,Medecine generale,2604
Fall,Aminata,Pediatrie,6902
Sow,Aminata,Pediatrie,3032
Diallo,Oumar,Medecine generale,5953
Diop,Khady,Chirurgie,8886
Sarr,Oumar,Cardiologie,6206
Sow,Oumar,Dermatologie,8353
Diop,Ibrahima,Chirurgie,1385
Sy,Ibrahima,Cardiologie,6183
Diallo,Oumar,Pediatrie,2227
Kane,Awa,Pediatrie,3051
Sarr,Mamadou,Cardiologie,2247
Sy,Awa,Dermatologie,6094
Ba,Khady,Pediatrie,3617
Kane,Oumar,Medecine generale,4040
Kane,Cheikh,Cardiologie,9332
Gueye,Fatou,Pediatrie,9304
Kane,Awa,Chirurgie,40
Diallo,Ousmane,Medecine generale,1254
Diallo,Awa,Medecine generale,1473
Fall,Cheikh,Pediatrie,3612
Sy,Cheikh,Gynecologie,9379
Fall,Fatou,Pediatrie,7857
Ba,Moussa,Dermatologie,6668
Ndiaye,Fatou,Chirurgie,2602
Ndiaye,Mamadou,Cardiologie,9202
Fall,Aminata,Cardiologie,8702
Kane,Oumar,Dermatologie,7622
Faye,Ibrahima,Cardiologie,6077
Ba,Mamadou,Gynecologie,5787
Sy,Khady,Gynecologie,3156
Ba,Oumar,Cardiologie,5291
Ba,Cheikh,Pediatrie,5825
Diop,Ibrahima,Chirurgie,640
Fall,Oumar,Dermatologie,9433
Sow,Ibrahima,Pediatrie,2920
Diallo,Abdoulaye,Medecine generale,4092
Ba,Mariama,Dermatologie,2842
Diallo,Oumar,Chirurgie,4662
Gueye,Awa,Dermatologie,9016
Sy,Mamadou,Chirurgie,1560
Sow,Awa,Medecine generale,9967
Sarr,Khady,Medecine generale,3122
Fall,Fatou,Medecine generale,1485
Diop,Mamadou,Gynecologie,7739
Faye,Mamadou,Dermatologie,6043
Fall,Fatou,Cardiologie,8966
Fall,Mamadou,Medecine generale,3144
Sy,Fatou,Medecine generale,4215
Kane,Abdoulaye,Dermatologie,6058
Fall,Abdoulaye,Gynecologie,3767
Fall,Mariama,Gynecologie,6106
Sow,Mariama,Cardiologie,4781
Diallo,Aminata,Cardiologie,7225
Ba,Ibrahima,Chirurgie,3898
Ba,Ibrahima,Pediatrie,400
Gueye,Oumar,Pediatrie,9547
Sarr,Mamadou,Gynecologie,8823
Sy,Ousmane,Chirurgie,1211
Kane,Khady,Gynecologie,9449
Diop,Awa,Dermatologie,5271
Kane,Aminata,Chirurgie,1350
Ndiaye,Ousmane,Dermatologie,5616
Faye,Awa,Cardiologie,7115
Fall,Ibrahima,Pediatrie,9411
Sarr,Ibrahima,Dermatologie,9447
Ba,Mariama,Cardiologie,1559
Diallo,Abdoulaye,Pediatrie,7537
Gueye,Awa,Pediatrie,9781
Sarr,Ousmane,Medecine generale,3431
Sow,Cheikh,Medecine generale,5675
Gueye,Khady,Dermatologie,916
Sy,Abdoulaye,Pediatrie,4984
Sy,Fatou,Dermatologie,571
Diallo,Moussa,Chirurgie,9096
Fall,Khady,Gynecologie,6950
Ba,Aminata,Dermatologie,8976
Sarr,Aminata,Dermatologie,1083
Sarr,Khady,Cardiologie,7936
Faye,Awa,Gynecologie,1436
Ba,Fatou,Dermatologie,2123
Diop,Mariama,Medecine generale,2880
Sarr,Ousmane,Dermatologie,3943
Gueye,Awa,Medecine generale,7894
Sarr,Mariama,Chirurgie,3891
Sy,Fatou,Chirurgie,7390
Sow,Mariama,Chirurgie,2981
Fall,Ousmane,Cardiologie,4798
Kane,Oumar,Medecine generale,7054
Diallo,Oumar,Dermatologie,1463
Sow,Mamadou,Dermatologie,2600
Sy,Ousmane,Chirurgie,3129
Kane,Ibrahima,Chirurgie,1853
Diallo,Moussa,Medecine generale,338
Gueye,Ousmane,Cardiologie,6900
Ba,Mariama,Chirurgie,1709
Diallo,Khady,Cardiologie,6149
Ndiaye,Mamadou,Pediatrie,7204
Sarr,Mariama,Cardiologie,6000
Kane,Cheikh,Gynecologie,6826
Diallo,Moussa,Pediatrie,4043
Faye,Khady,Pediatrie,6970
Sy,Mamadou,Pediatrie,5924
Diallo,Mariama,Dermatologie,161
Faye,Oumar,Cardiologie,743
Faye,Aminata,Gynecologie,7506
Sow,Ousmane,Pediatrie,9329
Diop,Moussa,Medecine generale,7339
Ba,Aminata,Cardiologie,9677
Kane,Mamadou,Chirurgie,4204
Ba,Moussa,Medecine generale,7238
Diallo,Khady,Gynecologie,4022
Kane,Abdoulaye,Medecine generale,8844
Sy,Cheikh,Dermatologie,7322
Diallo,Khady,Pediatrie,7769
Gueye,Moussa,Pediatrie,6367
Faye,Ousmane,Medecine generale,5602
Sy,Ibrahima,Gynecologie,3775
Sarr,Aminata,Gynecologie,3241
Diallo,Mamadou,Medecine generale,9683
Ndiaye,Aminata,Dermatologie,3198
Diop,Aminata,Gynecologie,2635
Sy,Mamadou,Gynecologie,9428
Diallo,Cheikh,Chirurgie,7443
Sarr,Abdoulaye,Gynecologie,1156
Ndiaye,Moussa,Chirurgie,5243
Ndiaye,Mamadou,Dermatologie,5631
Sow,Cheikh,Gynecologie,421
Diop,Aminata,Chirurgie,3368
Gueye,Aminata,Dermatologie,9697
Sow,Ibrahima,Gynecologie,2907
Ba,Awa,Cardiologie,2228
Sy,Awa,Pediatrie,6439
Diallo,Khady,Medecine generale,9923
Sow,Mamadou,Medecine generale,7780
Ba,Moussa,Gynecologie,6852
Sarr,Awa,Cardiologie,6622
Diop,Ibrahima,Cardiologie,8276
Fall,Mariama,Pediatrie,5177
Diallo,Mamadou,Chirurgie,986
Kane,Fatou,Dermatologie,2800
Diop,Cheikh,Cardiologie,5500
Sow,Ousmane,Medecine generale,4559
Diallo,Abdoulaye,Cardiologie,8206
Kane,Khady,Cardiologie,9497
Faye,Mariama,Pediatrie,107
Diop,Mamadou,Cardiologie,6601
Ndiaye,Abdoulaye,Cardiologie,4727
Kane,Ibrahima,Chirurgie,1834
Diallo,Mamadou,Dermatologie,2973
Kane,Khady,Cardiologie,6027
Faye,Ousmane,Cardiologie,5275
Sow,Cheikh,Gynecologie,1749
Sy,Oumar,Chirurgie,3982
Kane,Ousmane,Gynecologie,9237
Kane,Mamadou,Medecine generale,6980
Faye,Khady,Pediatrie,2892
Sy,Cheikh,Pediatrie,9591
Fall,Ibrahima,Pediatrie,7143
Ndiaye,Fatou,Medecine generale,5157
Ndiaye,Moussa,Dermatologie,8105
Diop,Mamadou,Gynecologie,1245
Diallo,Ibrahima,Medecine generale,5467
Kane,Ousmane,Dermatologie,5131
Sy,Fatou,Dermatologie,8881
Ndiaye,Ousmane,Cardiologie,1257
Faye,Khady,Chirurgie,2416
Diop,Awa,Medecine generale,6316
Sow,Abdoulaye,Medecine generale,5077
Sow,Moussa,Cardiologie,1938
Diallo,Khady,Cardiologie,6880
Ba,Cheikh,Dermatologie,1093
Kane,Cheikh,Pediatrie,7856
Kane,Ousmane,Pediatrie,2433
Faye,Fatou,Gynecologie,594
Diallo,Cheikh,Gynecologie,5669
Sarr,Mamadou,Medecine generale,4501
Gueye,Cheikh,Chirurgie,1999
Kane,Fatou,Dermatologie,7362
Ndiaye,Cheikh,Medecine generale,1633
Kane,Oumar,Gynecologie,8092
Fall,Oumar,Pediatrie,9278
Ndiaye,Oumar,Dermatologie,2593
Fall,Moussa,Pediatrie,892
Diallo,Oumar,Pediatrie,4076
Faye,Khady,Gynecologie,3749
Sarr,Cheikh,Chirurgie,7967
Faye,Awa,Medecine generale,947
Faye,Khady,Medecine generale,4055
Ndiaye,Cheikh,Chirurgie,1371
Sow,Abdoulaye,Gynecologie,5174
Sarr,Mariama,Dermatologie,7042
Diop,Khady,Gynecologie,827
Ba,Khady,Medecine generale,49
Diallo,Ousmane,Dermatologie,6772
Fall,Ibrahima,Medecine generale,1808
Sy,Awa,Pediatrie,8808
Sarr,Ibrahima,Cardiologie,1957
Ndiaye,Abdoulaye,Cardiologie,7047
Ndiaye,Mamadou,Chirurgie,2439
Sarr,Khady,Pediatrie,7214
Sarr,Mamadou,Medecine generale,4059
Faye,Oumar,Gynecologie,1714
Sy,Ousmane,Cardiologie,5273
Gueye,Oumar,Chirurgie,4056
Diop,Fatou,Medecine generale,9430
Ba,Cheikh,Cardiologie,4068
Sy,Mamadou,Medecine generale,815
Fall,Awa,Pediatrie,926
Fall,Cheikh,Gynecologie,3850
Diop,Awa,Cardiologie,9130
Diop,Mamadou,Dermatologie,5954
Gueye,Moussa,Gynecologie,5603
Ndiaye,Mamadou,Dermatologie,615
Fall,Cheikh,Chirurgie,3800
Sow,Fatou,Pediatrie,9113
Faye,Mariama,Cardiologie,8446
Sy,Oumar,Chirurgie,8180
Kane,Mamadou,Medecine generale,2405
Ndiaye,Khady,Medecine generale,4717
Sy,Cheikh,Cardiologie,9726
Diallo,Awa,Medecine generale,981
Gueye,Mariama,Medecine generale,8438
Gueye,Oumar,Medecine generale,8770
Ndiaye,Abdoulaye,Dermatologie,2023
Diallo,Awa,Chirurgie,1260
Diallo,Cheikh,Chirurgie,2975
Ndiaye,Aminata,Medecine generale,2077
Ba,Khady,Cardiologie,4203
Kane,Khady,Pediatrie,1865
Ba,Moussa,Gynecologie,4475
Sy,Abdoulaye,Pediatrie,9567
Sow,Moussa,Chirurgie,5998
Fall,Ousmane,Cardiologie,9495
Sy,Oumar,Gynecologie,9599
Kane,Mariama,Cardiologie,8181
Sow,Mariama,Medecine generale,2491
Diallo,Moussa,Dermatologie,5356
Sarr,Mariama,Gynecologie,7414
Fall,Cheikh,Gynecologie,4891
Faye,Aminata,Chirurgie,2715
Sarr,Mamadou,Dermatologie,3498
Sy,Aminata,Pediatrie,6347
Ndiaye,Moussa,Cardiologie,1397
Fall,Moussa,Medecine generale,7478
Sarr,Mamadou,Cardiologie,9346
Sy,Cheikh,Medecine generale,9358
Sarr,Mamadou,Dermatologie,6536
Ndiaye,Ousmane,Cardiologie,9951
Fall,Ousmane,Medecine generale,1978
Kane,Ibrahima,Pediatrie,9506
Ba,Aminata,Medecine generale,5565
Sy,Awa,Chirurgie,6614
Faye,Abdoulaye,Medecine generale,5766
Ba,Mariama,Pediatrie,5512
Kane,Oumar,Dermatologie,6559
Kane,Ibrahima,Dermatologie,5677
Faye,Aminata,Dermatologie,4874
Kane,Fatou,Gynecologie,4869
Diallo,Cheikh,Medecine generale,1686
Gueye,Ousmane,Pediatrie,1785
Fall,Mariama,Pediatrie,993
Ba,Cheikh,Cardiologie,4839
Sow,Ibrahima,Chirurgie,2387
Gueye,Aminata,Pediatrie,8948
Sow,Aminata,Cardiologie,4324
Faye,Khady,Pediatrie,6130
Sow,Cheikh,Medecine generale,4694
Ndiaye,Ousmane,Medecine generale,7747
Diallo,Oumar,Gynecologie,8963
Sy,Aminata,Gynecologie,7320
Sarr,Fatou,Pediatrie,7541
Ndiaye,Moussa,Chirurgie,7882
Sy,Ousmane,Chirurgie,8281
Ndiaye,Khady,Medecine generale,6384
Diallo,Fatou,Cardiologie,5726
Faye,Ibrahima,Dermatologie,6162
Diop,Oumar,Cardiologie,175
Faye,Ibrahima,Chirurgie,8192
Sarr,Mariama,Gynecologie,4641
Kane,Abdoulaye,Gynecologie,1604
Diallo,Mariama,Dermatologie,8333
Ba,Awa,Chirurgie,8460
Sy,Awa,Pediatrie,3092
Gueye,Moussa,Chirurgie,6957
Diallo,Mamadou,Chirurgie,2940
Kane,Oumar,Dermatologie,6604
Fall,Aminata,Chirurgie,2411
Sarr,Mariama,Dermatologie,2168
Ndiaye,Fatou,Medecine generale,9241
Fall,Mamadou,Cardiologie,1534
Faye,Mamadou,Pediatrie,3382
Faye,Abdoulaye,Gynecologie,2115
Fall,Khady,Gynecologie,816
Sy,Abdoulaye,Pediatrie,4826
Diop,Awa,Pediatrie,7866
Sy,Ousmane,Dermatologie,9761
Ndiaye,Mariama,Cardiologie,237
Sow,Mamadou,Dermatologie,149
Faye,Awa,Medecine generale,1660
Sow,Khady,Gynecologie,9482
Diallo,Moussa,Dermatologie,6884
Ndiaye,Aminata,Medecine generale,6188
Sow,Mamadou,Cardiologie,3201
Sy,Fatou,Medecine generale,4811
Sow,Awa,Cardiologie,9662
Ba,Awa,Gynecologie,1680
Gueye,Oumar,Chirurgie,6468
Sy,Mariama,Dermatologie,9597
Diallo,Ibrahima,Gynecologie,2929
Fall,Aminata,Dermatologie,4567
Fall,Khady,Medecine generale,2687
Sy,Fatou,Medecine generale,698
Diallo,Mamadou,Chirurgie,8775
Kane,Oumar,Cardiologie,4093
Diallo,Fatou,Chirurgie,7354
Diop,Ousmane,Gynecologie,5976
Sarr,Aminata,Medecine generale,1020
Sy,Moussa,Gynecologie,6548
Ndiaye,Fatou,Cardiologie,8826
Sow,Ibrahima,Medecine generale,560
Diallo,Oumar,Gynecologie,4679
Diallo,Ousmane,Medecine generale,9825
Diop,Oumar,Chirurgie,2653
Diop,Mamadou,Pediatrie,2756
Fall,Mariama,Gynecologie,6837
Diop,Abdoulaye,Gynecologie,2705
Sy,Khady,Chirurgie,8357
Sy,Mamadou,Chirurgie,2000
Gueye,Moussa,Dermatologie,876
Sarr,Abdoulaye,Pediatrie,5058
Sarr,Oumar,Chirurgie,2946
Fall,Aminata,Cardiologie,4187
Diop,Awa,Cardiologie,7593
Sow,Fatou,Chirurgie,6359
Fall,Oumar,Medecine generale,1219
Ndiaye,Oumar,Medecine generale,1797
Ba,Cheikh,Pediatrie,7087
Ba,Mariama,Gynecologie,6233
Ndiaye,Aminata,Cardiologie,68
Kane,Ibrahima,Pediatrie,3464
Ba,Oumar,Dermatologie,1636
Diallo,Abdoulaye,Pediatrie,5881
Diallo,Abdoulaye,Dermatologie,8531
Fall,Mamadou,Medecine generale,4952
Kane,Ousmane,Medecine generale,4957
Kane,Moussa,Pediatrie,4887
Ndiaye,Mariama,Gynecologie,3691
Gueye,Fatou,Chirurgie,1129
Ndiaye,Ousmane,Gynecologie,2198
Diop,Cheikh,Medecine generale,2682
Fall,Mariama,Chirurgie,2296
Kane,Khady,Pediatrie,8119
Fall,Aminata,Cardiologie,6230
Diop,Ousmane,Medecine generale,6448
Diop,Cheikh,Gynecologie,5409
Gueye,Moussa,Dermatologie,4994
Ndiaye,Moussa,Dermatologie,2266
Gueye,Ibrahima,Cardiologie,2828
Ba,Mariama,Medecine generale,7908
Diop,Khady,Pediatrie,1288
Ndiaye,Cheikh,Chirurgie,7676
Diallo,Cheikh,Cardiologie,459
Diop,Moussa,Cardiologie,4709
Gueye,Mamadou,Cardiologie,4489
Diop,Ibrahima,Cardiologie,4283
Fall,Mariama,Cardiologie,2339
Kane,Cheikh,Chirurgie,4419
Ba,Cheikh,Medecine generale,2372
Faye,Mariama,Cardiologie,2982
Faye,Mamadou,Gynecologie,3784
Gueye,Ousmane,Cardiologie,8151
Sow,Fatou,Cardiologie,8552
Sarr,Aminata,Pediatrie,5672
Sarr,Mariama,Medecine generale,1589
Ndiaye,Fatou,Chirurgie,932
Faye,Ousmane,Dermatologie,9786
Sow,Mariama,Cardiologie,7570
Sy,Khady,Dermatologie,4180
Sow,Khady,Medecine generale,4037
Diallo,Mamadou,Gynecologie,47
Gueye,Oumar,Gynecologie,3179
Fall,Mariama,Dermatologie,2109
Ndiaye,Abdoulaye,Medecine generale,2876
Faye,Ousmane,Dermatologie,5454
Ndiaye,Ibrahima,Gynecologie,1478
Fall,Fatou,Medecine generale,7578
Faye,Ousmane,Medecine generale,3342
Gueye,Oumar,Dermatologie,6596
Fall,Ibrahima,Chirurgie,7740
Faye,Khady,Gynecologie,3049
Sy,Aminata,Medecine generale,2314
Diallo,Ibrahima,Dermatologie,2614
Sow,Oumar,Medecine generale,3839
Sow,Fatou,Gynecologie,5718
Diallo,Abdoulaye,Chirurgie,259
Sarr,Aminata,Cardiologie,1213
Gueye,Abdoulaye,Gynecologie,6794
Ndiaye,Ibrahima,Chirurgie,7625
Sarr,Mamadou,Dermatologie,6769
Ndiaye,Mariama,Chirurgie,251
Sow,Aminata,Medecine generale,4540
Ndiaye,Moussa,Pediatrie,1580
Sy,Moussa,Gynecologie,5330
Sarr,Mamadou,Pediatrie,2234
Kane,Cheikh,Medecine generale,9245
Sow,Aminata,Gynecologie,5036
Sy,Moussa,Cardiologie,7067
Faye,Ibrahima,Chirurgie,1535
Ba,Cheikh,Pediatrie,7659
Sy,Mamadou,Pediatrie,1175
Diallo,Ousmane,Pediatrie,2632
Ba,Ousmane,Dermatologie,8940
Kane,Fatou,Medecine generale,9818
Diop,Fatou,Dermatologie,295
Diallo,Oumar,Dermatologie,3683
Diop,Cheikh,Dermatologie,1708
Kane,Oumar,Chirurgie,1908
Diallo,Awa,Gynecologie,1331
Sy,Ibrahima,Dermatologie,464
Sarr,Moussa,Chirurgie,8866
Ba,Ousmane,Gynecologie,7190
Sow,Oumar,Medecine generale,5514
Ndiaye,Ibrahima,Medecine generale,2022
Ndiaye,Khady,Pediatrie,4751
Sarr,Mamadou,Cardiologie,5279
Gueye,Cheikh,Cardiologie,9366
Sow,Aminata,Dermatologie,3057
Sy,Mamadou,Dermatologie,6995
Diallo,Oumar,Pediatrie,2128
Ndiaye,Abdoulaye,Gynecologie,7626
Kane,Ibrahima,Cardiologie,1794
Gueye,Awa,Chirurgie,118
Faye,Cheikh,Dermatologie,8293
Faye,Oumar,Cardiologie,4026
Kane,Moussa,Dermatologie,2449
Ndiaye,Moussa,Medecine generale,998
Faye,Mamadou,Cardiologie,1974
Sarr,Ousmane,Chirurgie,4427
Sy,Ibrahima,Gynecologie,6945
Diop,Abdoulaye,Dermatologie,1487
Sow,Aminata,Dermatologie,6710
Gueye,Mariama,Cardiologie,3830
Sarr,Fatou,Gynecologie,643
Ba,Moussa,Medecine generale,4397
Sy,Abdoulaye,Gynecologie,779
Sy,Fatou,Medecine generale,573
Kane,Ibrahima,Chirurgie,1707
Sow,Ibrahima,Pediatrie,2938
Sy,Mamadou,Chirurgie,2612
Gueye,Mamadou,Cardiologie,3680
Gueye,Moussa,Medecine generale,8515
Gueye,Mamadou,Cardiologie,6626
Diallo,Moussa,Pediatrie,2943
Ndiaye,Awa,Chirurgie,6621
Diallo,Fatou,Pediatrie,9200
Fall,Mariama,Gynecologie,1192
Ba,Cheikh,Medecine generale,1614
Faye,Khady,Gynecologie,5532
Gueye,Moussa,Medecine generale,4682
Sarr,Moussa,Cardiologie,4260
Gueye,Abdoulaye,Dermatologie,7003
Sow,Aminata,Dermatologie,7486
Kane,Mamadou,Chirurgie,7949
Sarr,Oumar,Gynecologie,627
Fall,Fatou,Cardiologie,4637
Faye,Mariama,Gynecologie,8210
Fall,Oumar,Gynecologie,4360
Ba,Awa,Chirurgie,3210
Gueye,Mariama,Chirurgie,2961
Fall,Aminata,Chirurgie,9404
Diop,Moussa,Dermatologie,8120
Kane,Awa,Medecine generale,9934
Kane,Awa,Gynecologie,8305
Ba,Mariama,Medecine generale,4739
Sarr,Oumar,Dermatologie,3926
Kane,Ibrahima,Pediatrie,1177
Ba,Abdoulaye,Pediatrie,112
Kane,Moussa,Gynecologie,3420
Ba,Ousmane,Pediatrie,2786
Faye,Khady,Cardiologie,9540
